1192,1126,1348
1191,1125,1347
1189,1120,1345
1187,1103,1343
1181,1033,1332
1160,991,1143
1015,954,1085
999,908,1073
990,894,1046
978,854,1026
967,770,1020
941,749,1013
923,747,999
905,746,984
890,729,951
872,726,909
856,718,896
838,712,873
828,697,862
822,694,858
811,690,851
805,688,843
795,681,841
788,680,839
789,677,836
785,671,832
779,652,826
780,635,821
777,633,816
775,628,807
766,625,799
764,620,784
756,614,762
705,611,755
692,608,748
676,608,742
667,606,731
660,605,723
662,601,718
658,599,712
652,597,704
647,594,701
642,591,699
637,588,695
635,586,693
631,585,692
627,582,688
623,579,688
621,563,683
619,510,680
618,527,676
615,528,673
608,531,656
603,528,620
600,528,628
595,526,620
592,520,615
585,517,609
580,516,603
575,514,601
572,510,599
569,507,598
565,505,596
562,504,593
558,505,589
554,503,586
550,502,584
546,501,580
541,501,575
538,499,575
530,501,571
501,501,569
492,502,566
496,500,564
506,498,561
504,497,558
500,494,556
498,470,554
498,469,553
495,458,552
490,447,549
491,451,547
490,456,546
490,457,544
488,459,540
487,459,528
484,459,489
483,462,501
482,461,501
483,458,500
482,458,497
483,455,496
483,451,497
481,452,496
478,453,497
478,454,498
476,456,496
475,457,495
473,457,493
472,458,494
471,458,493
470,458,493
469,456,494
468,455,492
468,452,490
467,452,489
466,451,488
464,451,485
464,451,486
463,453,483
464,455,485
462,455,484
460,450,483
